training_rmse;validation_rmse;inducing_time;training_time;validation_time;optimal_theta;gp_variance;noise_variance;reduced_loglikelihood;output_name;sparse_method;inducing_method;m
0.024629292009544904;0.02389012616023918;9.213294744491577;17.960449934005737;0.02059173583984375;[3.41610293e-01 2.71917459e-14 7.85636842e-03 1.06247338e-03];0.016948496581877717;0.0005212418602584296;[[150730.42231404]];CZC;FITC;NORM_KMEANS;50
0.02585384328390743;0.02563188375309231;9.373172044754028;17.576427459716797;0.016164064407348633;[5.64268724e-01 4.28015669e-14 6.20177042e-03 3.08025129e-04];0.018448481283884193;0.0006554532093270381;[[146849.7836946]];CZC;VFE;NORM_KMEANS;50
0.019105775797937895;0.01928508332894234;17.47599172592163;39.63374066352844;0.031252384185791016;[8.87338622e-01 1.14970716e-14 1.86809159e-02 3.41757094e-04];0.15223322234261272;0.0003203075958737368;[[162534.39614741]];CZC;FITC;NORM_KMEANS;100
0.020324400150411523;0.02036245979950855;16.37724471092224;38.47042632102966;0.03576183319091797;[7.23165091e-01 2.41499669e-14 7.98077912e-03 4.73997186e-04];0.04210435079272008;0.00042314801844925025;[[158259.9820057]];CZC;VFE;NORM_KMEANS;100
0.017701322019333294;0.01780455125057403;40.23859739303589;87.51371479034424;0.06893038749694824;[1.72116109e-01 2.49510470e-13 2.08538008e-02 1.00039722e-03];0.06704761313614757;0.00028728598689954236;[[164912.3153422]];CZC;FITC;NORM_KMEANS;200
0.017294182872243376;0.017254243912363694;40.92296624183655;79.55127716064453;0.07094097137451172;[6.42368244e-01 3.04005690e-13 1.70744969e-02 9.76474542e-04];0.02052771203272893;0.00027129936051155075;[[163691.89789021]];CZC;VFE;NORM_KMEANS;200
0.014904396836360214;0.014465218470708498;92.5106315612793;227.9975357055664;0.17241692543029785;[2.10470876e-01 3.92562072e-13 4.49739209e-02 1.74925813e-03];0.13520792124535835;0.0002184596938591979;[[172379.46135063]];CZC;FITC;NORM_KMEANS;500
0.014297288227216726;0.014284186247458336;91.75969529151917;218.55223298072815;0.17097735404968262;[5.63678315e-01 4.42039555e-13 2.85612413e-02 5.39295465e-04];0.4210991012221851;0.00022833117030348442;[[173132.55484828]];CZC;VFE;NORM_KMEANS;500
0.012912951960519553;0.012863993710687341;132.40649271011353;514.6163635253906;0.3497648239135742;[1.00000000e+00 8.76182864e-13 5.97292836e-02 1.45896726e-03];0.5883850376795783;0.00016830076862255403;[[177242.28928223]];CZC;FITC;NORM_KMEANS;1000
0.014153703406480768;0.014090378882258663;134.18813705444336;508.50197553634644;0.4115328788757324;[9.90436228e-01 1.66992587e-13 4.68197100e-02 6.17772908e-03];0.08264913561774553;0.00020138336217501808;[[173290.11132384]];CZC;VFE;NORM_KMEANS;1000
